destination;argument_1;argument_2;operator;maximum_effect;accessibility;probability_of_success;saturation_point
Crime rate reduction;Social cohesion Ukrainians;Effect of social cohesion Ukrainians on crime rate reduction;*;;;;
Crime rate reduction;Increase in income other refugees;Effect of income other refugees on crime rate;*;;;;
Crime rate reduction;Increase in income Ukrainians;Effect of income Ukrainians on crime rate;*;;;;
Personal safety Ukrainians Crime rate;Crime rate reduction;Effect of crime rate on personal safety Ukrainians;*;;;;
Personal safety other refugees;Crime rate reduction;Effect of crime rate on personal safety other refugees;*;;;;
Personal safety inhabitants;Crime rate reduction;Effect of crime rate on personal safety inhabitants;*;;;;
Personal safety Ukrainians Education;Tertiary education completed Ukrainians;Effect of tertiary education completed Ukrainians on personal safety Ukrainians;*;;;;
Personal safety Ukrainians;Personal safety Ukrainians Crime rate;Personal safety Ukrainians Education;+;;;;
Health Ukrainians;Sports and association;;squeezed *;0.22;1.0;0.7;1630189.054
Social participation Ukrainians;Access to transport;;squeezed *;0.537;1.0;0.6;15216753.91
Financial security Ukrainians;Increase in income Ukrainians;Effect of income Ukrainians on financial security Ukrainians;*;;;;
Financial security other refugees;Increase in income other refugees;Effect of income other refugees on financial security other refugees;*;;;;
Financial security inhabitants;Increase in income inhabitants;Effect of income inhabitants on financial security inhabitants;*;;;;
Social trust other refugees;Unemployment reduction other refugees;Effect of unemployment reduction other refugees on social trust other refugees;*;;;;
Quality of life Ukrainians Health;Health Ukrainians;Effect of health Ukrainians on quality of life Ukrainians;*;;;;
Quality of life Ukrainians Financial security;Financial security Ukrainians;Effect of financial security Ukrainians on quality of life Ukrainians;*;;;;
Quality of life Ukrainians Personal safety;Personal safety Ukrainians;Effect of personal safety Ukrainians on quality of life Ukrainians;*;;;;
Quality of life Ukrainians Social cohesion;Social cohesion Ukrainians;Effect of social cohesion Ukrainians on quality of life Ukrainians;*;;;;
Quality of life Ukrainians Social participation;Social participation Ukrainians;Effect of social participation Ukrainians on quality of life Ukrainians;*;;;;
Quality of life Ukrainians;Quality of life Ukrainians Unemployment reduction;Quality of life Ukrainians Social participation;+;;;;
Quality of life Ukrainians;Quality of life Ukrainians Health;Quality of life Ukrainians Financial security;+;;;;
Quality of life Ukrainians;Quality of life Ukrainians Personal safety;Quality of life Ukrainians Social cohesion;+;;;;
Quality of life other refugees Financial security;Financial security other refugees;Effect of financial security other refugees on quality of life other refugees;*;;;;
Quality of life other refugees Social trust;Social trust other refugees;Effect of social trust other refugees on quality of life other refugees;*;;;;
Quality of life other refugees Personal safety;Personal safety other refugees;Effect of personal safety other refugees on quality of life other refugees;*;;;;
Quality of life other refugees;Quality of life other refugees Interventions;Quality of life other refugees Unemployment reduction;+;;;;
Quality of life other refugees;Quality of life other refugees Financial security;Quality of life other refugees Social trust;+;;;;
Quality of life other refugees;Quality of life other refugees Personal safety;0;+;;;;
Quality of life inhabitants Financial security;Financial security inhabitants;Effect of financial security inhabitants on quality of life inhabitants;*;;;;
Quality of life inhabitants Personal safety;Personal safety inhabitants;Effect of personal safety inhabitants on quality of life inhabitants;*;;;;
Quality of life inhabitants;Quality of life inhabitants Interventions;Quality of life inhabitants Unemployment reduction;+;;;;
Quality of life inhabitants;Quality of life inhabitants Financial security;Quality of life inhabitants Personal safety;+;;;;
